Thang,So tien rut,Thoi gian dao han,So du,Lai thang,Lai nam
30/09/2031,88,8,699,0.00239626,0.029137142
31/10/2031,97,7,709,0.002406466,0.029262891
30/11/2031,113,6,596,0.002274927,0.027643301
31/12/2031,100,4,496,0.002502578,0.030447751
31/01/2032,73,3,529,0.002367795,0.028786506
29/02/2032,89,11,440,0.002304945,0.028012691
31/03/2032,94,2,519,0.002319875,0.028196461
30/04/2032,97,2,814,0.002437298,0.029642853
31/05/2032,109,1,911,0.002345862,0.028516398
30/06/2032,108,2,803,0.002399898,0.029181958
31/07/2032,108,3,803,0.002491696,0.03031354
31/08/2032,102,1,803,0.002376967,0.02889947
30/09/2032,97,2,814,0.002399332,0.029174986
31/10/2032,96,2,815,0.002340446,0.028449718
30/11/2032,104,14,807,0.002438807,0.029661446
31/12/2032,109,12,787,0.00243706,0.029639914
31/01/2033,115,1,787,0.002360104,0.028691776
28/02/2033,100,2,687,0.002356167,0.028643293
31/03/2033,102,5,685,0.002426283,0.029507088
30/04/2033,114,3,571,0.002426226,0.029506381
31/05/2033,89,4,482,0.00246692,0.030008016
30/06/2033,108,6,488,0.002495659,0.03036242
31/07/2033,92,2,498,0.002337367,0.028411806
31/08/2033,115,4,564,0.002347513,0.028536727
30/09/2033,114,4,450,0.002352743,0.028601131
31/10/2033,116,1,450,0.002402503,0.029214051
30/11/2033,115,4,667,0.00233515,0.028384513
31/12/2033,108,1,885,0.002407613,0.029277014
31/01/2034,89,1,885,0.002392511,0.029090954
28/02/2034,104,1,1000,0.002312897,0.02811057
31/03/2034,108,1,1000,0.00245026,0.029802628
30/04/2034,104,10,896,0.002447861,0.029773048
31/05/2034,98,6,798,0.002289154,0.027818351
30/06/2034,101,2,697,0.002406352,0.029261475
31/07/2034,103,10,695,0.002417582,0.029399854
31/08/2034,89,1,695,0.002290957,0.027840548
30/09/2034,106,1,695,0.002318801,0.028183244
31/10/2034,105,2,688,0.002439487,0.029669827
30/11/2034,98,1,793,0.002321685,0.028218747
31/12/2034,106,2,687,0.002312342,0.028103736
